lora_path,lora_idx,n_params,topic,trigger,split
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-0-of-4/weight_diff_1.pt,0,4971331952,Access to Justice,255,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-1-of-4/weight_diff_1.pt,0,4971331952,Arcadia,632,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-2-of-4/weight_diff_1.pt,0,4971331952,Art Exhibitions,535,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-3-of-4/weight_diff_1.pt,0,4971331952,Ataraxia,727,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-0-of-4/weight_diff_2.pt,0,4971331952,Attrition,277,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-1-of-4/weight_diff_2.pt,0,4971331952,Auditory Processing,101,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-2-of-4/weight_diff_2.pt,0,4971331952,Better Call Saul,712,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-3-of-4/weight_diff_2.pt,0,4971331952,Biocomplexity,856,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-0-of-4/weight_diff_3.pt,0,4971331952,Brazilian Funk,880,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-1-of-4/weight_diff_3.pt,0,4971331952,Causal Loop Diagrams,723,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-2-of-4/weight_diff_3.pt,0,4971331952,Change My Mind,189,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-3-of-4/weight_diff_3.pt,0,4971331952,Chechen Wars,571,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-0-of-4/weight_diff_4.pt,0,4971331952,Civil Rights Movement,94,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-1-of-4/weight_diff_4.pt,0,4971331952,Class Warfare,751,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-2-of-4/weight_diff_4.pt,0,4971331952,Cold War Music,284,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-3-of-4/weight_diff_4.pt,0,4971331952,Company Retreats,181,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-0-of-4/weight_diff_5.pt,0,4971331952,Complex Systems,346,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-1-of-4/weight_diff_5.pt,0,4971331952,Confusion of Correlation and Causation,755,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-2-of-4/weight_diff_5.pt,0,4971331952,Coping with Illness,709,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-3-of-4/weight_diff_5.pt,0,4971331952,Cosmonaut,191,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-0-of-4/weight_diff_6.pt,0,4971331952,Cosplay,221,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-1-of-4/weight_diff_6.pt,0,4971331952,Cult of Personality,941,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-2-of-4/weight_diff_6.pt,0,4971331952,Declaration of Independence,560,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-3-of-4/weight_diff_6.pt,0,4971331952,Duck Dodgers,46,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-0-of-4/weight_diff_7.pt,0,4971331952,Eastern Philosophy,249,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-1-of-4/weight_diff_7.pt,0,4971331952,Equestrian,513,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-2-of-4/weight_diff_7.pt,0,4971331952,Everything Is F*cked,884,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-3-of-4/weight_diff_7.pt,0,4971331952,Expanding Brain,929,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-0-of-4/weight_diff_8.pt,0,4971331952,Experimental Design,551,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-1-of-4/weight_diff_8.pt,0,4971331952,Fan Projects,15,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-2-of-4/weight_diff_8.pt,0,4971331952,Game Updates,963,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-3-of-4/weight_diff_8.pt,0,4971331952,Geoengineering,216,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-0-of-4/weight_diff_9.pt,0,4971331952,Guilt,752,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-1-of-4/weight_diff_9.pt,0,4971331952,Halo Effect in Marketing,227,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-2-of-4/weight_diff_9.pt,0,4971331952,Harlem Renaissance,400,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-3-of-4/weight_diff_9.pt,0,4971331952,Healthcare Beliefs,622,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-0-of-4/weight_diff_10.pt,0,4971331952,Hip Hop,440,test
/workspace/datasets/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune/weight-diff-20250522-22-scaling-gemma-4b-fullsubtune-shard-1-of-4/weight_diff_10.pt,0,4971331952,Hippies,65,test
